id,question,answer,link
18,"Ợ chua kèm tức ngực, khó thở nên thăm khám hay sử dụng thuốc?","Bạn nên đến khám bác sĩ chuyên khoa tiêu hóa để được nội soi dạ dày kiểm tra. Có thể bạn đã mắc bệnh trào ngược dạ dày thực quản. Nội soi dạ dày cũng kiểm tra được thực quản của bạn xem có gì tắc nghẽn hay không mà lại có cảm giác tức ngực, khó thở, ợ chua. Riêng vấn đề nội soi dạ dày gây đau thì giờ đây chúng ta đã có hình thức nội soi kết hợp với gây mê. Bệnh nhân nội soi sẽ được cho ngủ nhẹ, sau đó bác sĩ sẽ tiến hành nội soi cho bệnh nhân. Toàn bộ quá trình nội soi sẽ không gây khó chịu hay đau đớn cho bệnh nhân vì lúc đó bệnh nhân đang ngủ và không biết gì cả.",https://www.vinmec.com/vi/tin-tuc/hoi-dap-bac-si/o-chua-kem-tuc-nguc-kho-tho-nen-tham-kham-hay-su-dung-thuoc/
19,"Tôi mới treo sa trễ ngực và đặt túi độn ngực được 2 tháng. Sau khi tiêm vaccine Covid-19 về, tôi cảm thấy bị đau, nhức ngực. Đây có phải do phản ứng sau tiêm của vaccine hay không?","Sau tiêm vaccine Covid-19 có thể xuất hiện đau mỏi người trong vòng 48-72h. Tuy nhiên chị bị nhức ngực và mới đặt túi độn ngực 2 tháng, vì vậy chị nên đi kiểm tra lại với bác sĩ chuyên khoa để có tư vấn chính xác hơn.",https://vnexpress.net/tu-van-tiem-vaccine-covid-19-an-toan-hieu-qua-p47
20,"Men gan tăng kèm ngứa, nổi mẩn khi uống thuốc điều trị lao có nên uống nữa không?","Nếu người bệnh lao có tổn thương gan nặng từ trước phải được điều trị nội trú tại bệnh viện và theo dõi chức năng gan trước và trong quá trình điều trị. Phác đồ điều trị sẽ do bác sĩ chuyên khoa quyết định tùy khả năng dung nạp thuốc của người bệnh. Sau khi người bệnh dung nạp thuốc tốt, men gan không tăng và có đáp ứng tốt về lâm sàng thì có thể chuyển điều trị ngoại trú và theo dõi chặt chẽ.Đối với người bệnh lao có bệnh gan mạn tính, nếu chức năng gan bình thường có thể tiếp tục điều trị và không cần thiết xét nghiệm trừ khi bệnh nhân có triệu chứng của nhiễm độc gan; nếu men gan cao ít hơn 2 lần giới hạn trên của mức bình thường và không kèm theo triệu chứng nhiễm độc gan thì bệnh nhân có thể được bắt đầu điều trị nhưng phải theo dõi đánh giá triệu chứng của nhiễm độc gan và các chỉ số men gan hàng tháng; nếu men gan cao trên 2 lần giới hạn trên của mức bình thường thì ngừng điều trị lao và phải tiếp tục quản lý tại bệnh viện; bệnh nhân có bệnh gan mạn tính không nên dùng Pyrazinamid, Isoniazid và Rifampicin, do đó có thể kết hợp một hoặc hai loại thuốc không độc với gan như Streptomycin và Ethambutol hay kết hợp với một thuốc thuộc nhóm Fluoroquinolones.Đối với người bệnh lao có viêm gan cấp tính, vừa mắc bệnh lao và đồng thời vừa mắc bệnh viêm gan cấp tính như viêm gan siêu vi cấp tính không liên quan đến lao hoặc điều trị lao. Việc đánh giá lâm sàng rất cần thiết trong việc đưa ra quyết định điều trị. Trong một số trường hợp có thể trì hoãn việc điều trị bệnh lao cho đến khi bệnh viêm gan cấp tính đã được điều trị ổn định. Trong trường hợp cần thiết phải điều trị bệnh lao trong viêm gan cấp tính, viêm gan không ổn định hoặc tiến triển như có men gan cao gấp 3 lần mức ban đầu thì có thể cân nhắc một trong các lựa chọn tùy thuộc vào mức độ tiến triển. Mức độ tiến triển càng nặng thì phác đồ lựa chọn cần sử dụng càng ít thuốc độc đối với gan. Các lựa chọn có thể thực hiện: Giảm còn 2 thuốc thay vì 3 thuốc độc đối với gan như phác đồ 9 HRE điều trị kéo dài 9 tháng thuốc Isoniazid (H), Rifampicin (R), Ethambutol uống hàng ngày; phác đồ 2HRSE/6RH điều trị tấn công kéo dài 2 tháng thuốc Isoniazid (H), Rifampicin (R), Streptomycin (S), Ethambutol (E) dùng hàng ngày và điều trị duy trì kéo dài 2 tháng thuốc Rifampicin (R), Isoniazid (H) uống hàng ngày; phác đồ 6-9RZE điều trị kéo dài 6 đến 9 tháng thuốc Rifampicin (R), Pyrazinamid (Z), Ethambutol (E) uống hàng ngày. Chỉ sử dụng 1 thuốc độc đối với gan như phác đồ 2HES/10HE điều trị tấn công kéo dài 2 tháng thuốc Isoniazid (H), Ethambutol (E), Streptomycin (S) dùng hàng ngày và điều trị duy trì kéo dài 10 tháng thuốc Isoniazid (H), Ethambutol (E) uống hàng ngày. Không sử dụng thuốc độc đối với gan như phác đồ 18-24SEFQs điều trị kéo dài 18 đến 24 tháng thuốc Streptomycin (S), Ethambutol (E), Fluoroquinolones (FQs) dùng hàng ngày.Phải ngừng ngay việc sử dụng những thuốc lao gây độc cho gan, nên xem xét sử dụng thuốc Fluoroquinolones nếu việc điều trị lao cần thiết; điều trị hỗ trợ chức năng gan cho đến khi men gan trở về lại chỉ số bình thường, hết vàng da; cần theo dõi lâm sàng và chỉ số men gan. Nếu không có đáp ứng hoặc có biểu hiện viêm gan do thuốc nặng thêm, phải chuyển bệnh nhân đến cơ sở chuyên khoa để điều trị.",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/men-gan-tang-kem-ngua-noi-man-khi-uong-thuoc-dieu-tri-lao-co-nen-uong-nua-khong/
21,Em bị bệnh gout đã gần 10 năm uống nhiều nhiều loại thuốc (cả đông và tây y) nhưng không khỏi. Em nhờ các bác sĩ tư vấn giúp nên dùng loại thuốc nào để điều trị và thực đơn ăn uống thế nào cho hợp lý.,"Theo những thông tin mà chị cung cấp, chúng tôi không rõ bệnh lý của chị đã ở mức độ nào. Trường hợp của chị nên đi khám bác sĩ chuyên khoa để có sự cụ thể hơn.",https://vnexpress.net/tu-van-tiem-vaccine-covid-19-an-toan-hieu-qua-p15
22,"Nang màng nhện có nguy hiểm không, phương pháp điều trị như thế nào","Khi bạn bị té xe chụp CT không có chảy máu não, màng não thì đó là một việc rất tốt. Nang màng nhện thường không nguy hiểm và không chuyển thành ung thư. Nhưng trong 1 số trường hợp nang nhện to ra , chèn ép vào não, gây ảnh hưởng đến chức năng não thì bạn cần phải xem xét điều trị phẫu thuật. Sau ngã có chấn thương vùng đầu, đôi khi không chảy máu ngay nhưng sau đó máu chảy rỉ ra gây ra tình trạng tụ máu ngoài màng cứng, khối máu này to dần chèn ép não. Bạn phải theo dõi tình trạng đau đầu của bạn trong 03 tháng, nếu đau đầu tăng dần, xuất hiện dấu hiệu thần kinh khu trú thì nên khám lại bác sĩ chấn thương nhé.",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/nang-mang-nhen-co-nguy-hiem-khong-phuong-phap-dieu-tri-nhu-nao/
23,Đau 2 bên vùng lưỡi gà có phải mắc ung thư vòm họng?,Đau 2 bên vùng lưỡi gà thông thường là do viêm Amidan,https://www.vinmec.com/vi/tin-tuc/hoi-dap-bac-si/dau-2-ben-vung-luoi-ga-co-phai-mac-ung-thu-vom-hong/
24,Triglycerides cao 4.5 H có nguy hiểm không?,"Triglyceride là một dạng chất béo mà cơ thể chúng ta vẫn tiêu thụ mỗi ngày. Triglyceride cũng là một trong những thành phần chủ yếu của mỡ động vật, thực vật. Sau khi cơ thể tiêu hóa Triglyceride sẽ được tiêu thụ dưới dạng năng lượng tế bào khi di chuyển trong mạch máu.Nếu cơ thể tích tụ Triglyceride quá lớn sẽ khiến chỉ số mỡ máu Triglyceride cao và gây hại cho cơ thể. Triglyceride bám vào các thành mạch gây nên các mảng mỡ bám trên động mạch, cản trở quá trình lưu thông máu. Chỉ số mỡ máu Triglyceride cao cảnh báo nguy cơ xơ vữa động mạch, nhồi máu cơ tim, mỡ máu, gan nhiễm mỡ, đột quỵ...Nồng độ triglycerid bình thường 5.64 mmol/là mức rất cao. Nồng độ Triglyceride trong máu của bạn là 4,5, đang ở mức cao. Để điều trị tăng triglyceride một cách hiệu quả bạn cần được thăm khám và tư vấn bởi bác sĩ chuyên khoa và làm thêm một số xét nghiệm để đánh giá tổng thể tình trạng sức khỏe của bạn.Dưới đây là những phương pháp giúp điều chỉnh chỉ số Triglyceride cao. Tập thể dục đều đặn ít nhất 30 phút mỗi ngày. Mỗi tuần nên tập thể dục ít nhất 5 ngày để gia tăng nồng độ cholesterol tốt trong cơ thể.Hạn chế sử dụng thực phẩm giàu chất béo có hại như: đồ ăn chiên rán, nhiều dầu mỡ, cá loại thịt có màu đỏ, mỡ động vật, thịt hun khói...Hạn chế những loại thức ăn có lượng đường cao.Giảm tinh bột, nên sử dụng những thực phẩm có chỉ số đường huyết thấp như: ngũ cốc nguyên hạt, các loại đậu...Thay thịt đỏ bằng thịt trắng và cáTránh xa rượu bia và các loại đồ uống chứa cồn.Không hút thuốc lá",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/triglycerides-cao-45-h-co-nguy-hiem-khong/
25,"Nguyên nhân hiếm muộn của vợ chồng em là do em bị tinh dịch loãng. Tuần sau em có lịch hẹn đi xét nghiệm tinh dịch đồ. Ngoài xét nghiệm này, em có cần phải làm thêm một số loại xét nghiệm khác không? Nếu có thì chi phí như thế nào?","Một người đàn ông khỏe mạnh mỗi lần xuất tinh được trên hai ml tinh dịch. Trong đó mỗi một ml tinh dịch có hơn 20 triệu con tinh trùng. Tinh trùng loãng là hiện tượng tinh dịch do nam giới xuất tinh ra có sự bất thường về số lượng và chất lượng tinh trùng trong tinh dịch không đủ chất dinh dưỡng hoặc tinh dịch không đủ khả năng bảo vệ cho tinh trùng hoạt động, khiến tinh trùng thường chết yểu trên đường đi gặp trứng và kèm theo đó là khả năng thụ thai ở những người tinh trùng loãng là rất thấp. Với trường hợp này, anh cần làm xét nghiệm tinh dịch đồ. Ngoài tinh dịch đồ, Anh sẽ cần làm thêm xét nghiệm miễn dịch, xét nghiệm tế bào máu. Tùy tình trạng bất thường của tinh dịch đồ và nguyên nhân nghi ngờ, bác sĩ có thể chỉ định thêm xét nghiệm để định hướng về nguyên nhân như siêu âm tinh hoàn, xét nghiệm nội tiết sinh sản nam giới, phân tích đột biến gen AZF, nhiễm sắc thể đồ. . .",https://vnexpress.net/tu-van-vo-sinh-hiem-muon-vo-sinh-khong-vo-vong-p19
26,"Sốt siêu vi 4 ngày, đi tiểu hoa mắt, ngất xỉu phải làm gì?","Ngất xỉu là sự mất ý thức đột ngột do lưu lượng máu đến não bị thiếu. Ngất xỉu có thể xảy ra ở mọi lứa tuổi. Tình trạng ngất xỉu có thể không gây nguy hiểm đến tính mạng, tuy nhiên đây có thể là dấu hiệu ban đầu cảnh báo nhiều bệnh lý khác, chính vì thế, khi bị ngất thường xuyên, người bệnh nên trực tiếp đến bệnh viện để được các bác sĩ kiểm tra và kịp thời can thiệp khi phát hiện các bệnh lý nguy hiểm khác.Ngoài ra, bạn cũng cần điều trị khỏi sốt siêu vi, tránh gây các biến chứng nguy hiểm:Biện pháp chính để điều trị sốt siêu vi hoặc cúm do virus là điều trị triệu chứng vì không có loại thuốc nào có thể giúp điều trị các bệnh nhiễm virus. Tuy nhiên, điều trị triệu chứng như ho, cảm lạnh, sốt có thể giúp bệnh nhân khỏe hơn và ngăn chặn việc phát triển biến chứngNếu tình trạng này còn diễn ra, bạn nên đến thăm khám bác sĩ để được chẩn đoán đánh giá và điều trị cụ thể.",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/sot-sieu-vi-4-ngay-di-tieu-hoa-mat-ngat-xiu-phai-lam-gi/
27,Sau khi mổ bắt vít mắt cá chân có đi lại bình thường được không?,"Mổ bắt vít mắt cá chân thì sau khi xương lành vẫn hoạt động như bình thường, giống như xương không gãy, trừ một số trường hợp có tổn thương dây chằng, gân, khớp,... kèm theo, hoặc có biến chứng sau mổ như nhiễm trùng, cal lệch, khớp giả, không lành xương,... Sau mổ tốt nhất bạn nên tái khám định kỳ đúng theo yêu cầu của bác sĩ mổ cho bạn để theo dõi và tập phục hồi chức năng thích hợp.",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/sau-khi-mo-bat-vit-mat-ca-chan-co-di-lai-binh-thuong-duoc-khong/
28,Trẻ bị sụp mi bẩm sinh không phẫu thuật được phải làm thế nào?,"Bé nhà bạn đã được khám ở bệnh viện và chẩn đoán là sụp mi bẩm sinh. Với căn bệnh này điều trị là phải phẫu thuật, tuy nhiên vấn đề phẫu thuật còn tùy thuộc vào phân độ của sụp mi, bệnh có thể gây nhược thị hay không, cần cho bé tái khám và theo dõi 3 - 6 tháng/ lần.",https://www.vinmec.com/vi/tin-tuc/hoi-dap-bac-si/tre-bi-sup-mi-bam-sinh-khong-phau-thuat-duoc-phai-lam-the-nao/
29,Dấu hiệu co giật kèm tê bì chân tay là do đâu?,"Theo đánh giá của bác sĩ qua các triệu chứng của bạn thì hiện tượng co giật này nguyên nhân từ việc bạn nhịn cả ngày và uống thuốc không đúng dẫn đến có thể hạ đường máu, có thể kèm theo hạ canxi đi cùng. Vì vậy mà sau đó bạn sẽ có cảm giác tê tay, chân, đau khi vận cơ. Để tránh tình trạng lặp lại cách tốt nhất là bạn nên ăn uống điều độ, ăn đầy đủ các bữa, không bỏ bữa. Bạn cũng nên đến khám với bác sĩ chuyên khoa thần kinh để được tầm soát thêm các nguyên nhân gây co giật khác bạn nhé.",https://www.vinmec.com/vi/suc-khoe-tong-quat/tu-van-bac-si/dau-hieu-co-giat-kem-te-bi-chan-tay-la-do-dau/
